#NAME?,n Time------,#NAME?,---Lat--,#NAME?,r---Long-,#NAME?,---Dep--,DepEr,r-Mag----,-----Region----Flag--------------------
18/01/2020,21:55:29.28,0.5,31.627,1.25,129.498,1.64,3,,,SW OFF KYUSHU  k
18/01/2020,21:55:38.14,0.12,31.409,0.32,131.435,0.58,31.5,0.7,2.1V,SE OFF OSUMI PEN  K
18/01/2020,21:57:12.33,0.04,36.055,0.12,137.577,0.11,5.7,1.1,-0.1V,WESTERN NAGANO PREF  k
18/01/2020,21:57:30.00,0.18,27.474,0.69,130.252,1.05,80,,2.9V,NEAR AMAMI-OSHIMA ISLAND  K
18/01/2020,22:00:46.20,0.04,35.717,0.14,136.603,0.19,6.3,1.1,0.6V,SW GIFU PREF  A
18/01/2020,22:01:36.35,0.06,37.258,0.18,139.074,0.25,3.9,1.4,0.8V,MID NIIGATA PREF  A
18/01/2020,22:02:41.88,0.1,28.078,0.42,129.243,0.55,28.2,1,1.2v,NEAR AMAMI-OSHIMA ISLAND  A
18/01/2020,22:06:04.28,0.08,39.072,0.22,142.059,0.47,57.2,0.6,2.5V,E OFF IWATE PREF  K
18/01/2020,22:06:05.39,0.14,41.6,0.32,140.373,0.83,4,2.6,0.6v,OSHIMA PEN REG HOKKAIDO  a
18/01/2020,22:06:25.13,0.17,37.477,0.31,137.267,0.46,6.9,2,0.6v,NOTO PENINSULA REGION  A
18/01/2020,22:07:08.37,0.07,36.388,0.37,137.628,0.33,3,,0.0V,HIDA MOUNTAINS REGION  A
18/01/2020,22:15:39.02,0.12,39.167,0.28,142.381,0.63,33,1.3,1.2V,E OFF IWATE PREF  A
18/01/2020,22:18:48.20,0.34,36.261,1.43,139.161,1.21,106.9,2.6,1.1V,SE GUNMA PREF  A
18/01/2020,22:19:47.12,0.11,35.528,0.24,138.966,0.29,20.8,0.8,0.6V,EASTERN YAMANASHI PREF  k
18/01/2020,22:22:21.06,0.08,34.913,0.18,137.789,0.21,20.9,0.7,0.6V,SW SHIZUOKA PREF  A
18/01/2020,22:30:30.13,0.08,26.648,0.46,129.604,0.4,52,,2.6V,NEAR OKINAWAJIMA ISLAND  K
18/01/2020,22:34:23.63,0.09,35.804,0.17,138.008,0.2,11.6,0.7,-0.3v,AKAISHI MOUNTAINS REG  A
18/01/2020,22:38:04.76,0.05,36.051,0.18,137.575,0.17,7,1.2,0.3V,WESTERN NAGANO PREF  A
18/01/2020,22:39:01.85,0.19,35.279,0.29,139.019,0.65,20.6,1.3,0.5V,HAKONE REGION  K
18/01/2020,22:42:13.07,0.04,36.657,0.11,139.499,0.16,9.7,0.4,0.4V,TOCHIGI GUNMA BORDER  k
18/01/2020,22:42:49.30,0.08,33.117,0.22,129.603,0.31,12.1,1.3,0.9v,NAGASAKI PREF  A
18/01/2020,22:43:03.61,0.03,34.051,0.09,133.071,0.12,12.7,0.6,0.9V,HIUCHINADA SETONAIKAI  A
18/01/2020,22:44:26.34,0.16,38.432,0.56,140.062,0.47,10.2,1.8,0.3v,SOUTHERN YAMAGATA PREF  A
18/01/2020,22:49:01.47,0.03,34.182,0.11,135.228,0.15,5.7,0.8,0.6V,NW WAKAYAMA PREF  A
18/01/2020,22:54:24.93,0.11,36.064,0.32,139.887,0.33,44.8,1,0.7V,SW IBARAKI PREF  A
18/01/2020,22:54:46.35,0.03,33.743,0.18,134.978,0.09,15.3,0.7,1.1V,S PART OF KII CHANNEL  A
18/01/2020,22:57:01.33,0.85,22.126,3.65,121.81,0.81,5,,3.7V,TAIWAN REGION  K
18/01/2020,22:57:05.73,0.14,38.902,0.46,142.06,0.99,44.1,1.6,0.9V,KINKAZAN REGION  A
18/01/2020,23:00:31.60,0.09,35.927,0.3,137.581,0.28,7.8,1.1,0.0V,WESTERN NAGANO PREF  A
18/01/2020,23:01:25.09,0.05,40.036,0.07,140.54,0.08,2.1,0.8,0.2v,NORTHERN AKITA PREF  k
18/01/2020,23:02:50.62,0.44,44.725,0.68,142.042,1.55,13.3,2.8,-0.4V,SOYA REGION  k
18/01/2020,23:03:27.58,0.05,35.885,0.12,138.74,0.2,7.5,1.5,1.2V,WESTERN SAITAMA PREF  A
18/01/2020,23:06:14.57,0.17,37.48,0.29,137.271,0.33,9.1,1.4,0.5v,NOTO PENINSULA REGION  k
18/01/2020,23:06:54.69,0.11,31.277,0.5,130.587,0.28,4.9,3.6,0.5v,SATSUMA PENINSULA REGION  A
18/01/2020,23:09:38.31,0.06,35.745,0.15,138.228,0.17,12.8,0.8,1.8V,AKAISHI MOUNTAINS REG  K
18/01/2020,23:11:10.09,0.03,33.838,0.17,134.982,0.09,11.3,0.8,0.7V,S PART OF KII CHANNEL  A
18/01/2020,23:16:22.99,0.28,36.14,0.6,140.831,1.46,51.2,1.9,1.1v,E OFF IBARAKI PREF  A
18/01/2020,23:18:44.32,0.11,39.753,0.21,142.355,0.68,39.4,0.8,1.6V,E OFF IWATE PREF  A
18/01/2020,23:19:46.64,0.47,35.96,1.28,141.242,2.36,37.9,3.8,1.6v,FAR E OFF IBARAKI PREF  k
18/01/2020,23:23:20.89,0.46,43.597,1.53,145.295,2.05,135.2,3.7,1.6V,NEMURO REGION  k
18/01/2020,23:28:50.31,0.04,32.656,0.12,130.69,0.15,13.5,0.6,1.1V,NW KUMAMOTO PREF  A
18/01/2020,23:33:12.14,0.06,33.806,0.21,135.109,0.18,44.1,0.6,1.2V,S PART OF KII CHANNEL  A
18/01/2020,23:33:53.42,0.1,26.645,0.38,127.859,0.47,11.8,2.8,1.1V,NEAR OKINAWAJIMA ISLAND  k
18/01/2020,23:34:03.70,0.06,40.038,0.24,140.538,0.29,5.6,2.6,0.4v,NORTHERN AKITA PREF  k
18/01/2020,23:34:29.67,0.05,36.697,0.11,140.655,0.24,11.1,0.5,1.2V,NORTHERN IBARAKI PREF  A
18/01/2020,23:42:04.11,0.17,42.626,0.78,145.394,0.67,47.2,1.8,1.1V,OFF NEMURO PENINSULA  A
18/01/2020,23:42:57.22,0.14,35.325,0.17,139.153,0.61,11.6,0.8,0.2V,KANAGAWA PREF  k
18/01/2020,23:58:31.09,0.03,35.755,0.07,137.544,0.07,7.1,0.8,0.1V,WESTERN NAGANO PREF  k
19/01/2020,00:00:54.30,0.04,27.122,0.15,128.335,0.21,9.1,1.4,1.0V,NEAR OKINAWAJIMA ISLAND  k
19/01/2020,00:04:39.67,0.01,40.494,0.03,140.831,0.06,2.5,0.2,-0.3V,EASTERN AOMORI PREF  k
19/01/2020,00:05:09.41,0.04,40.493,0.14,140.829,0.27,2.6,0.8,-0.5v,EASTERN AOMORI PREF  k
19/01/2020,00:07:24.25,0.24,30.557,0.45,131.209,1.38,30.9,1.2,1.4V,NEAR TANEGASHIMA ISLAND  k
19/01/2020,00:08:04.82,0.06,33.68,0.22,135.165,0.2,40.3,0.5,1.1V,S PART OF KII CHANNEL  A
19/01/2020,00:08:40.78,0.04,34.025,0.05,135.22,0.15,7.3,0.3,0.0v,NW WAKAYAMA PREF  k
19/01/2020,00:09:11.04,0.12,35.419,0.22,135.903,0.27,13.6,1.2,0.5v,NW SHIGA PREF  k
19/01/2020,00:21:39.88,0.06,34.909,0.13,135.594,0.19,11.3,0.7,0.1V,KYOTO OSAKA BORDER REG  A
